Asset,Model,AIC,BIC,Note
NVDA,CAPM,-7298.64931991222,-7287.940595251377,Beta: 1.7921
NVDA,Factor (Growth_Factor),-7984.106534301596,-7968.043447310331,
NVDA,"ARIMA(1,0,1)",-6238.2437216525395,-6216.8262723308535,
NVDA,"GARCH(1,1)",8013.746253586034,8035.16370290772,
NVDA,"EGARCH(1,1,1)",7980.453909967613,8007.22572161972,
NVDA,"TGARCH(1,1,1)",7978.060130417418,8004.831942069525,
NVDA,GARCH-X(Sentiment),8013.746253586034,8035.16370290772,
USO,CAPM,-6036.09258712996,-6025.79589564216,Beta: 0.7225
USO,Factor (Commodity_Factor),-6036.09258712996,-6025.79589564216,
USO,"ARIMA(1,0,1)",-5576.037315167396,-5555.443932191795,
USO,"GARCH(1,1)",5601.6415889502405,5622.234971925841,
USO,"EGARCH(1,1,1)",5622.485832343513,5648.227561063013,
USO,"TGARCH(1,1,1)",5616.650614522076,5642.392343241576,
USO,GARCH-X(Sentiment),5601.6415889502405,5622.234971925841,
EGX,CAPM,-8972.078883246217,-8961.443130848964,Beta: 0.7703
EGX,Factor (Size_Factor),-8972.078883246217,-8961.443130848964,
EGX,"ARIMA(1,0,1)",-8131.366284058042,-8110.094779263536,
EGX,"GARCH(1,1)",5589.292582042441,5610.564086836946,
EGX,"EGARCH(1,1,1)",5560.72231231293,5587.311693306062,
EGX,"TGARCH(1,1,1)",5561.182581280351,5587.771962273483,
EGX,GARCH-X(Sentiment),5589.292582042441,5610.564086836946,
